INFO 2025-06-05 20:06:01,384 autoreload Watching for file changes with StatReloader
DEBUG 2025-06-05 20:06:01,388 autoreload Waiting for apps ready_event.
DEBUG 2025-06-05 20:06:01,398 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2025-06-05 20:06:01,448 autoreload Watching dir C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\django_extensions\templates with glob **/*.
DEBUG 2025-06-05 20:06:01,448 autoreload Watching dir C:\Users\WW5\PycharmProjects\DrHvost\clinic\templates with glob **/*.
DEBUG 2025-06-05 20:06:01,455 autoreload Watching dir C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\django_celery_beat\templates with glob **/*.
DEBUG 2025-06-05 20:06:01,455 autoreload Watching dir C:\Users\WW5\PycharmProjects\DrHvost\locale with glob **/*.mo.
DEBUG 2025-06-05 20:06:01,459 autoreload Watching dir C:\Users\WW5\PycharmProjects\DrHvost\booking\locale with glob **/*.mo.
DEBUG 2025-06-05 20:06:01,459 autoreload Watching dir C:\Users\WW5\PycharmProjects\DrHvost\clinic\locale with glob **/*.mo.
DEBUG 2025-06-05 20:06:01,459 autoreload Watching dir C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\django_celery_beat\locale with glob **/*.mo.
DEBUG 2025-06-05 20:06:01,459 autoreload Watching dir C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\django_extensions\locale with glob **/*.mo.
DEBUG 2025-06-05 20:06:01,638 utils (0.000) 
            SELECT
                c.relname,
                CASE
                    WHEN c.relispartition THEN 'p'
                    WHEN c.relkind IN ('m', 'v') THEN 'v'
                    ELSE 't'
                END,
                obj_description(c.oid, 'pg_class')
            FROM pg_catalog.pg_class c
            LEFT JOIN pg_catalog.pg_namespace n ON n.oid = c.relnamespace
            WHERE c.relkind IN ('f', 'm', 'p', 'r', 'v')
                AND n.nspname NOT IN ('pg_catalog', 'pg_toast')
                AND pg_catalog.pg_table_is_visible(c.oid)
        ; args=None; alias=default
DEBUG 2025-06-05 20:06:01,638 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2025-06-05 20:06:01,864 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\django\views\decorators\cache.py first seen with mtime 1744117398.8225853
DEBUG 2025-06-05 20:06:01,869 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\django\urls\conf.py first seen with mtime 1744117398.772028
DEBUG 2025-06-05 20:06:01,871 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\PIL\_binary.py first seen with mtime 1744245294.172164
DEBUG 2025-06-05 20:06:01,871 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\django\core\files\base.py first seen with mtime 1744117398.4919574
DEBUG 2025-06-05 20:06:01,871 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\json\scanner.py first seen with mtime 1696831135.756281
DEBUG 2025-06-05 20:06:01,871 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\django\__init__.py first seen with mtime 1744117395.1426258
DEBUG 2025-06-05 20:06:01,871 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\tzdata\zoneinfo\Chile\__init__.py first seen with mtime 1744117393.7616837
DEBUG 2025-06-05 20:06:01,874 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\django\contrib\sessions\exceptions.py first seen with mtime 1744117398.0106912
DEBUG 2025-06-05 20:06:01,874 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\collections\abc.py first seen with mtime 1696831133.6475794
DEBUG 2025-06-05 20:06:01,874 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\django\utils\deprecation.py first seen with mtime 1744117398.7900348
DEBUG 2025-06-05 20:06:01,874 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\json\decoder.py first seen with mtime 1696831135.755283
DEBUG 2025-06-05 20:06:01,874 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\billiard\compat.py first seen with mtime 1746756099.4029455
DEBUG 2025-06-05 20:06:01,874 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\django\contrib\auth\validators.py first seen with mtime 1744117396.3521228
DEBUG 2025-06-05 20:06:01,874 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\django\db\models\fields\files.py first seen with mtime 1744117398.6235487
DEBUG 2025-06-05 20:06:01,874 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\psycopg2\_ipaddress.py first seen with mtime 1744117954.0044756
DEBUG 2025-06-05 20:06:01,874 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\django\core\checks\caches.py first seen with mtime 1744117398.4778833
DEBUG 2025-06-05 20:06:01,874 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\DLLs\_ssl.pyd first seen with mtime 1712539002.375738
DEBUG 2025-06-05 20:06:01,882 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\django_celery_beat\querysets.py first seen with mtime 1746895876.4341302
DEBUG 2025-06-05 20:06:01,883 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\__future__.py first seen with mtime 1696831141.643639
DEBUG 2025-06-05 20:06:01,883 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\email\header.py first seen with mtime 1696831134.1881492
DEBUG 2025-06-05 20:06:01,884 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\psycopg2\_psycopg.cp311-win_amd64.pyd first seen with mtime 1744117954.0294847
DEBUG 2025-06-05 20:06:01,884 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\psycopg2\_range.py first seen with mtime 1744117954.031568
DEBUG 2025-06-05 20:06:01,884 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\celery\loaders\base.py first seen with mtime 1746756100.962538
DEBUG 2025-06-05 20:06:01,884 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\DrHvost\settings.py first seen with mtime 1749135959.0867414
DEBUG 2025-06-05 20:06:01,884 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\django\db\migrations\operations\__init__.py first seen with mtime 1744117398.6040297
DEBUG 2025-06-05 20:06:01,884 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\cron_descriptor\DescriptionTypeEnum.py first seen with mtime 1746895876.2521753
DEBUG 2025-06-05 20:06:01,884 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\django\contrib\contenttypes\forms.py first seen with mtime 1744117396.6028423
DEBUG 2025-06-05 20:06:01,889 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\email\mime\base.py first seen with mtime 1696831134.192145
DEBUG 2025-06-05 20:06:01,890 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\click\utils.py first seen with mtime 1746756100.1284554
DEBUG 2025-06-05 20:06:01,890 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\django\templatetags\tz.py first seen with mtime 1744117398.7629912
DEBUG 2025-06-05 20:06:01,890 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\django\contrib\messages\__init__.py first seen with mtime 1744117397.625878
DEBUG 2025-06-05 20:06:01,890 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\django\contrib\sessions\apps.py first seen with mtime 1744117398.0076964
DEBUG 2025-06-05 20:06:01,890 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\psycopg2\sql.py first seen with mtime 1744117954.0407221
DEBUG 2025-06-05 20:06:01,890 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\dateutil\tz\_common.py first seen with mtime 1746756100.0178487
DEBUG 2025-06-05 20:06:01,890 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\django\contrib\sessions\base_session.py first seen with mtime 1744117398.0086894
DEBUG 2025-06-05 20:06:01,894 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\django\forms\renderers.py first seen with mtime 1744117398.652331
DEBUG 2025-06-05 20:06:01,894 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\django\views\decorators\common.py first seen with mtime 1744117398.8235836
DEBUG 2025-06-05 20:06:01,894 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\django\template\defaulttags.py first seen with mtime 1744117398.7437253
DEBUG 2025-06-05 20:06:01,894 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\django_celery_beat\utils.py first seen with mtime 1746895876.43714
DEBUG 2025-06-05 20:06:01,894 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\django\template\base.py first seen with mtime 1744117398.7407217
DEBUG 2025-06-05 20:06:01,894 autoreload File C:\Users\WW5\PycharmProjects\DrHvost\venv\Lib\site-packages\colorama\winterm.py first seen with mtime 1746756099.33888
DEBUG 2025-06-05 20:06:01,894 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\socketserver.py first seen with mtime 1696831140.939056
